Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Property Type,Residential Type,Sales Ratio
22063,2022,2023-01-17,Derby,2 D ST,96810,130000,Residential,Single Family,0.7446923076923077
22275,2022,2023-07-17,North Haven,25 APPLETREE LN,159640,375000,Residential,Single Family,0.4257066666666667
220276,2022,2023-04-14,Groton,88-6 BUDDINGTON RD,74410,179000,Residential,Condo,0.41569832402234635
2200184,2022,2023-05-16,Bloomfield,47 FOOTHILLS WAY,161980,337500,Residential,Single Family,0.4799407407407407
221163,2022,2023-06-26,Fairfield,50 CEDAR WOOD LANE,424410,780000,Residential,Single Family,0.5441153846153847
220894,2022,2023-08-30,Greenwich,VALLEY ROAD 0064,536060,735000,Residential,Two Family,0.7293333333333333
2200162,2022,2023-04-17,Bloomfield,21 PENWOOD RD,234640,420000,Residential,Single Family,0.5586666666666666
220796,2022,2023-03-13,Bridgeport,323 EXETER ST,130579,259900,Residential,Single Family,0.5024201616006156
2200314,2022,2023-06-22,East Haven,54 MILL POND HEIGHTS RD,181790,410410,Residential,Single Family,0.4429472966058332
222355,2022,2023-08-29,Bridgeport,220 MARILYN DR,135660,295000,Residential,Single Family,0.459864406779661
220021,2022,2022-10-20,Brooklyn,28 GUNNAR DR,126500,289000,Residential,Single Family,0.43771626297577854
222104,2022,2023-09-20,Manchester,175-185 NEW BOLTON ROAD,207700,400000,Residential,Single Family,0.51925
220165,2022,2023-01-13,Newington,7 EIGHTH ST,84740,135000,Residential,Single Family,0.6277037037037037
220016,2022,2022-10-28,Mansfield,15 WESTWOOD RD,203100,405000,Residential,Single Family,0.5014814814814815
220084,2022,2022-12-22,Killingly,5 COUNTRY CLUB ROAD,138110,300000,Residential,Four Family,0.46036666666666665
220148,2022,2022-10-26,Bridgeport,341 GEORGE ST #343,229020,480000,Residential,Two Family,0.477125
220108,2022,2022-11-29,Enfield,5 SOUTHVIEW ST,104700,207000,Residential,Single Family,0.5057971014492754
220264,2022,2022-12-29,Hartford,58 LEDGER ST,43586,235000,Residential,Single Family,0.18547234042553193
22005,2022,2022-10-17,Barkhamsted,22 SHANNON DR,224060,502000,Residential,Single Family,0.44633466135458166
220174,2022,2023-07-27,Coventry,11 WOODMERE DR,111900,550000,Residential,Single Family,0.20345454545454544
220028,2022,2022-11-22,Litchfield,220 EAST ST,207660,375000,Residential,Single Family,0.55376
220972,2022,2023-08-22,Milford,6-10 STOWE AVE,653180,1200000,Residential,Single Family,0.5443166666666667
220833,2022,2023-03-21,Bridgeport,155 KENNEDY DR UNIT #155,74190,171000,Residential,Condo,0.433859649122807
220100,2022,2022-11-16,Fairfield,411 ROMANOCK ROAD,911260,1750000,Residential,Single Family,0.52072
